# Rounds: 100, Loops: 100, Buffer: 1000
#Round	Pages amount	Used pages	Alloc pages	Free memory
1	27	26	110	0
2	46	45	188	1
3	68	67	278	3
4	77	76	315	2
5	90	89	368	2
6	96	94	393	4
7	115	114	471	3
8	133	132	544	3
9	140	138	573	4
10	151	149	618	5
11	156	154	638	5
12	160	159	655	3
13	169	165	692	12
14	176	174	720	8
15	184	181	753	9
16	187	184	765	8
17	193	191	790	5
18	197	195	806	8
19	199	198	815	1
20	207	205	847	5
21	213	209	872	14
22	211	209	864	5
23	217	215	888	7
24	221	218	905	9
25	228	222	933	22
26	233	228	954	20
27	230	227	942	11
28	230	226	942	15
29	232	228	950	13
30	232	228	950	15
31	234	229	958	18
32	239	232	978	27
33	244	234	999	39
34	246	239	1007	25
35	248	241	1015	28
36	252	247	1032	18
37	256	250	1048	24
38	259	252	1060	26
39	253	247	1036	23
40	255	250	1044	19
41	251	245	1028	21
42	258	248	1056	37
43	258	251	1056	25
44	259	252	1060	27
45	258	251	1056	27
46	263	257	1077	21
47	266	258	1089	28
48	265	254	1085	41
49	269	260	1101	35
50	272	260	1114	48
51	266	255	1089	42
52	271	258	1110	52
53	272	258	1114	56
54	271	258	1110	49
55	270	260	1105	39
56	272	260	1114	45
57	269	256	1101	52
58	267	256	1093	44
59	268	260	1097	31
60	265	254	1085	41
61	269	256	1101	51
62	266	256	1089	40
63	267	256	1093	42
64	264	254	1081	40
65	269	259	1101	40
66	259	254	1060	16
67	266	261	1089	18
68	262	258	1073	15
69	259	253	1060	22
70	256	253	1048	8
71	266	261	1089	19
72	264	259	1081	19
73	263	256	1077	27
74	257	250	1052	27
75	263	254	1077	34
76	266	257	1089	33
77	267	259	1093	31
78	266	259	1089	25
79	259	254	1060	20
80	264	259	1081	19
81	259	253	1060	24
82	261	255	1069	21
83	262	257	1073	18
84	259	252	1060	26
85	257	246	1052	43
86	252	247	1032	17
87	246	241	1007	17
88	248	244	1015	15
89	248	241	1015	24
90	252	244	1032	32
91	249	239	1019	37
92	246	236	1007	38
93	245	240	1003	18
94	243	238	995	16
95	246	240	1007	23
96	246	239	1007	25
97	251	245	1028	22
98	255	248	1044	28
99	258	249	1056	34
100	254	244	1040	38
